numExp,nSticks,stick1,stick2,p_isLong_1_L0,p_isLong_2_L0,p_isLong_1_L1,p_isLong_2_L1,isWEE,WEE
162,4,0.825,0.375,0.7192982456140354,0.6666666666666665,0.5619162682876266,0.947379634645768,True,0.4380949453055103
163,4,0.825,0.325,0.7192982456140354,0.6339869281045752,0.5619162682876266,0.8888757621485974,True,0.412270811370431
164,4,0.825,0.275,0.7192982456140354,0.6013071895424839,0.5619162682876266,0.7966338124137062,True,0.3527086001976312
165,4,0.825,0.225,0.7192982456140354,0.5620915032679737,0.5619162682876266,0.6623259576518488,True,0.2576164317102838
166,4,0.825,0.175,0.7192982456140354,0.5163398692810458,0.5619162682876266,0.5112086906147061,False,0.0
167,4,0.825,0.125,0.7192982456140354,0.47058823529411753,0.5619162682876266,0.4008398247821519,False,0.0
168,4,0.825,0.075,0.7192982456140354,0.4248366013071895,0.5619162682876266,0.30101835786231107,False,0.0
169,4,0.825,0.025,0.7192982456140354,0.38562091503267937,0.5619162682876266,0.2485453982056076,False,0.0
170,4,0.875,0.475,0.7595459236326113,0.7843137254901957,0.6641360822066391,0.9990197430737155,False,0.0
171,4,0.875,0.425,0.7595459236326113,0.7581699346405226,0.6641360822066391,0.9967730119899844,True,0.33401291877543393
172,4,0.875,0.375,0.7595459236326113,0.7254901960784313,0.6641360822066391,0.989918063407822,True,0.3598377087553628
173,4,0.875,0.325,0.7595459236326113,0.6862745098039215,0.6641360822066391,0.962768095918715,True,0.3719034275407658
174,4,0.875,0.275,0.7595459236326113,0.6470588235294121,0.6641360822066391,0.8824568782284087,True,0.33080789612496875
175,4,0.875,0.225,0.7595459236326113,0.6078431372549022,0.6641360822066391,0.7745097115663432,True,0.26207641573741314
176,4,0.875,0.175,0.7595459236326113,0.5686274509803922,0.6641360822066391,0.6484004937720522,False,0.0
177,4,0.875,0.125,0.7595459236326113,0.5294117647058824,0.6641360822066391,0.5350370964917217,False,0.0
178,4,0.875,0.075,0.7595459236326113,0.47712418300653575,0.6641360822066391,0.4170776570565719,False,0.0
179,4,0.875,0.025,0.7595459236326113,0.43137254901960775,0.6641360822066391,0.3361542191896799,False,0.0
180,4,0.925,0.475,0.7905056759545929,0.8169934640522873,0.7287359013807331,0.9997186592628028,False,0.0
181,4,0.925,0.425,0.7905056759545929,0.790849673202614,0.7287359013807331,0.998455073526769,False,0.0
182,4,0.925,0.375,0.7905056759545929,0.7647058823529408,0.7287359013807331,0.9957220311814656,True,0.29278592340238463
183,4,0.925,0.325,0.7905056759545929,0.7254901960784313,0.7287359013807331,0.977112698599678,True,0.3133922770951064
184,4,0.925,0.275,0.7905056759545929,0.6928104575163399,0.7287359013807331,0.93732085162504,True,0.3062801686825599
185,4,0.925,0.225,0.7905056759545929,0.6535947712418302,0.7287359013807331,0.8427986517743765,True,0.2509736551064061
186,4,0.925,0.175,0.7905056759545929,0.6143790849673206,0.7287359013807331,0.7364312179041782,True,0.18382190751071736
187,4,0.925,0.125,0.7905056759545929,0.5686274509803922,0.7287359013807331,0.6118107949387672,False,0.0
188,4,0.925,0.075,0.7905056759545929,0.5294117647058824,0.7287359013807331,0.5118638588749347,False,0.0
189,4,0.925,0.025,0.7905056759545929,0.47712418300653575,0.7287359013807331,0.4115107517968843,False,-0.0
190,4,0.975,0.475,0.8204334365325081,0.8431372549019608,0.7822918486335027,0.999878001002906,False,0.0
191,4,0.975,0.425,0.8204334365325081,0.8235294117647056,0.7822918486335027,0.99950459296155,False,0.0
192,4,0.975,0.375,0.8204334365325081,0.7973856209150323,0.7822918486335027,0.9973026121281732,True,0.23805857911214634
193,4,0.975,0.325,0.8204334365325081,0.7647058823529408,0.7822918486335027,0.9882858311626672,True,0.2617215367087319
194,4,0.975,0.275,0.8204334365325081,0.7320261437908495,0.7822918486335027,0.9604769336371372,True,0.2665923777452931
195,4,0.975,0.225,0.8204334365325081,0.699346405228758,0.7822918486335027,0.8993255334565852,True,0.2381207161268326
196,4,0.975,0.175,0.8204334365325081,0.6601307189542484,0.7822918486335027,0.7985771166675322,True,0.17658798561228928
197,4,0.975,0.125,0.8204334365325081,0.6209150326797389,0.7822918486335027,0.6961250974658721,False,0.0
198,4,0.975,0.075,0.8204334365325081,0.5751633986928107,0.7822918486335027,0.5846592131922932,False,0.0
199,4,0.975,0.025,0.8204334365325081,0.5294117647058824,0.7822918486335027,0.4917608640037292,False,0.0
200,5,0.525,0.475,0.5144478844169247,0.49999999999999994,0.14665828031108558,0.6166070230871193,True,0.4843966271929585
201,5,0.525,0.425,0.5144478844169247,0.47303921568627444,0.14665828031108558,0.5337910222826642,True,0.42854141070222884
202,5,0.525,0.375,0.5144478844169247,0.4424019607843142,0.14665828031108558,0.4406092919874525,True,0.3659969353089774
203,5,0.525,0.325,0.5144478844169247,0.4093137254901963,0.14665828031108558,0.3393993101306545,True,0.2978751887462973
