numExp,agentBias,biasPrior,sampleMean,MAP_stick1_S1,MAP_stick2_S1,MAP_stick1_S2,MAP_stick2_S2,optProb_S1,optProb_S2,isOptMAP_S1,isOptMAP_S2
282,2.0,flat,0.34500000000000003,0.475,0.775,0.375,0.475,0.14,0.06,False,False
283,2.0,v,0.675,0.925,0.775,0.925,0.825,0.09000000000000002,0.15,False,True
284,5.0,flat,0.575,0.875,0.925,0.925,0.875,0.25,0.37,False,True
285,5.0,v,0.43499999999999994,0.975,0.725,0.975,0.725,0.51,0.59,True,True
286,10.0,flat,0.465,0.825,0.675,0.825,0.675,0.72,0.49,True,True
287,10.0,v,0.645,0.975,0.875,0.975,0.875,0.41,0.71,True,True
288,2.0,flat,0.525,0.725,0.875,0.425,0.725,0.09000000000000002,0.10000000000000002,False,False
289,2.0,v,0.40499999999999997,0.975,0.725,0.975,0.725,0.21,0.2,True,True
290,5.0,flat,0.505,0.875,0.675,0.875,0.675,0.22,0.37,True,True
291,5.0,v,0.41500000000000004,0.925,0.525,0.925,0.525,0.47,0.29999999999999993,True,True
292,10.0,flat,0.43499999999999994,0.925,0.525,0.925,0.525,0.66,0.49,True,True
293,10.0,v,0.375,0.775,0.525,0.275,0.525,0.73,0.05,True,False
294,2.0,flat,0.305,0.475,0.325,0.275,0.425,0.09000000000000002,0.11,False,False
295,2.0,v,0.595,0.875,0.825,0.825,0.875,0.15999999999999998,0.10000000000000002,True,False
296,5.0,flat,0.655,0.925,0.875,0.925,0.875,0.17999999999999994,0.26,True,True
297,5.0,v,0.395,0.675,0.725,0.325,0.675,0.36,0.07999999999999999,False,False
